WARNING	?	main	2016-12-15T11:51:50.945Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf
WARNING	?	main	2016-12-15T11:51:52.642Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk
WARNING	?	main	2016-12-15T11:51:55.649Z	org.javacs.AutocompleteVisitor#visitSelect	No type for com.flexisaf.sdk.paystack
INFO	?	main	2016-12-15T11:52:07.089Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:52:27.609Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:52:49.981Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:53:41.004Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:53:53.094Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:54:47.766Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
INFO	?	main	2016-12-15T11:54:58.119Z	org.javacs.JavaLanguageServer#doLint	Lint [/home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/VsCodeTest.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/json/TransactionJson.java, /home/iroko/pitaside/workspace/opensource/paystack/src/main/java/com/flexisaf/sdk/paystack/PaystackTransaction.java]
